Date,Price
2017-08-08,266.8
2017-08-09,276.69
2017-08-10,289.93
2017-08-11,294.49
2017-08-12,307.9
2017-08-13,289.31
2017-08-14,296.41
2017-08-15,279.33
2017-08-16,285.39
2017-08-17,300.25
2017-08-18,292.5
2017-08-19,286.18
2017-08-20,291.58
2017-08-21,297.23
2017-08-22,297.91
2017-08-23,314.54
2017-08-24,317.08
2017-08-25,325.8
2017-08-26,327.92
2017-08-27,334.36
2017-08-28,338.41
2017-08-29,347.79
2017-08-30,361.97
2017-08-31,376.35
2017-09-01,383.47
2017-09-02,328.1
2017-09-03,332.23
2017-09-04,279.94
2017-09-05,268.29
2017-09-06,313.49
2017-09-07,319.94
2017-09-08,285.16
2017-09-09,287.22
2017-09-10,268.97
2017-09-11,286.68
2017-09-12,287.23
2017-09-13,260.61
2017-09-14,213.91
2017-09-15,195.04
2017-09-16,238.22
2017-09-17,235.24
2017-09-18,252.23
2017-09-19,274.48
2017-09-20,278.05
2017-09-21,255.02
2017-09-22,256.22
2017-09-23,261.12
2017-09-24,278.13
2017-09-25,281.88
2017-09-26,287.02
2017-09-27,286.82
2017-09-28,295.47
2017-09-29,279.77
2017-09-30,291.11
2017-10-01,295.06
2017-10-02,294.58
2017-10-03,288.13
2017-10-04,290.89
2017-10-05,288.84
2017-10-06,294.95
2017-10-07,304.98
2017-10-08,308.03
2017-10-09,288.18
2017-10-10,293.17
2017-10-11,299.1
2017-10-12,303.29
2017-10-13,299.66
2017-10-14,334.7
2017-10-15,320.43
2017-10-16,332.04
2017-10-17,311.79
2017-10-18,290.64
2017-10-19,305.83
2017-10-20,303.49
2017-10-21,291.77
2017-10-22,292.81
2017-10-23,277.58
2017-10-24,282.66
2017-10-25,290.72
2017-10-26,295.22
2017-10-27,294.06
2017-10-28,293.58
2017-10-29,296.38
2017-10-30,304.35
2017-10-31,305.88
2017-11-01,290.58
2017-11-02,281.17
2017-11-03,287.69
2017-11-04,295.8
2017-11-05,295.12
2017-11-06,293.72
2017-11-07,290.77
2017-11-08,293.1
2017-11-09,307.06
2017-11-10,294.54
2017-11-11,298.19
2017-11-12,298.51
2017-11-13,307.02
2017-11-14,316.76
2017-11-15,329.81
2017-11-16,323.61
2017-11-17,327.52
2017-11-18,327.69
2017-11-19,344.74
2017-11-20,353.29
2017-11-21,350.69
2017-11-22,360.15
2017-11-23,376.09
2017-11-24,402.76
2017-11-25,461.05
2017-11-26,451.61
2017-11-27,468.48
2017-11-28,466.35
2017-11-29,425.07
2017-11-30,401.24
2017-12-01,428.31
2017-12-02,456.65
2017-12-03,451.85
2017-12-04,453.31
2017-12-05,457.66
2017-12-06,420.21
2017-12-07,414.41
2017-12-08,422.37
2017-12-09,456.25
2017-12-10,429.51
2017-12-11,439.1
2017-12-12,504.49
2017-12-13,597.8
2017-12-14,664.99
2017-12-15,621.06
2017-12-16,680.79
2017-12-17,696.24
2017-12-18,689.23
2017-12-19,785.34
2017-12-20,756.0
2017-12-21,792.69
2017-12-22,543.76
2017-12-23,679.73
2017-12-24,614.92
2017-12-25,698.87
2017-12-26,760.93
2017-12-27,738.41
2017-12-28,701.19
2017-12-29,729.61
2017-12-30,685.23
2017-12-31,710.12
2018-01-01,742.0
2018-01-02,772.35
2018-01-03,868.45
2018-01-04,946.09
2018-01-05,956.33
2018-01-06,994.62
2018-01-07,1043.01
2018-01-08,1016.05
2018-01-09,1145.49
2018-01-10,1226.6
2018-01-11,1135.17
2018-01-12,1120.09
2018-01-13,1270.47
2018-01-14,1286.21
2018-01-15,1290.6
2018-01-16,875.54
2018-01-17,780.92
2018-01-18,967.76
2018-01-19,1003.71
2018-01-20,1044.95
2018-01-21,1021.5
2018-01-22,930.74
2018-01-23,920.54
2018-01-24,965.81
2018-01-25,1034.74
2018-01-26,996.78
2018-01-27,1042.12
2018-01-28,1111.78
2018-01-29,1169.08
2018-01-30,1058.97
2018-01-31,1034.5
2018-02-01,984.82
2018-02-02,757.98
2018-02-03,847.69
2018-02-04,805.06
2018-02-05,644.6
2018-02-06,574.42
2018-02-07,723.43
2018-02-08,755.84
2018-02-09,788.83
2018-02-10,825.58
2018-02-11,788.22
2018-02-12,817.51
2018-02-13,828.84
2018-02-14,844.28
2018-02-15,911.11
2018-02-16,917.85
2018-02-17,940.75
2018-02-18,915.45
2018-02-19,921.55
2018-02-20,892.95
2018-02-21,830.56
2018-02-22,802.67
2018-02-23,794.79
2018-02-24,818.55
2018-02-25,822.38
2018-02-26,842.32
2018-02-27,867.1
2018-02-28,855.12
2018-03-01,851.92
2018-03-02,852.42
